id_individual,Sex_1_0,Haplotype,Number_sightings,Av_water_depth,Av_group_size,Sponger,Demons_sponging_forage,Sp_Order_acquisition,Mum_known,Not_weaned
DVD,0,NA,3,6.433333333,2.666666667,no,NA,NA,no,0
DVI,0,NA,2,13,6,no,NA,NA,yes,0
DVN,0,NA,1,2.8,9,no,NA,NA,no,0
DXT,0,NA,1,8.3,12,no,NA,NA,no,0
DYL,0,NA,2,4.4,1,no,NA,NA,no,0
EAS,0,NA,3,6.6,3.666666667,no,NA,NA,yes,0
EAZ,0,NA,1,6.1,10,no,NA,NA,no,0
EEM,0,NA,5,8.5,2.6,no,NA,NA,no,0
EEN,-0.5,E,3,3.733333333,9.333333333,no,NA,NA,no,0
EIE,0,NA,3,12.16666667,7,no,NA,NA,no,0
EIL,0,NA,1,4.9,3,no,NA,NA,no,0
ELA,0.5,E,5,13.14,4.4,no,NA,NA,no,0
ELE,0.5,H,3,7.3,10,no,NA,NA,no,0
ELI,0,NA,1,2.8,2,no,NA,NA,no,0
ELL,0,NA,5,6.58,9.6,no,NA,NA,no,0
ELM,0.5,H,17,6.817647059,8.529411765,no,NA,NA,no,0
ELO,0,NA,4,7.85,4.5,no,NA,NA,no,0
EMI,-0.5,E,5,6.58,7.8,no,NA,NA,no,0
EMU,-0.5,E,25,10.884,4.88,yes,yes,8,yes,0
END,0,NA,2,6.25,3.5,no,NA,NA,yes,0
ERI,0.5,H,25,7.412,6.64,no,NA,NA,no,0
ESK,-0.5,E,38,5.760526316,2.27027027,no,NA,NA,no,0
ESP,0,NA,5,7.18,3,no,NA,NA,yes,0
ESS,0,NA,1,8.3,8,no,NA,NA,no,0
EST,0.5,H,131,5.196153846,5.213740458,no,NA,NA,no,0
ETH,0,NA,2,13.65,6.5,no,NA,NA,no,0
EUR,0,NA,7,5.442857143,4.285714286,no,NA,NA,yes,0
EVE,-0.5,NA,2,13.15,1.5,yes,yes,30,no,0
EWE,0,NA,5,5.86,4.6,no,NA,NA,no,0
EXP,-0.5,E,11,10.18181818,2.545454545,yes,no,73,yes,0
FAB,0,NA,1,13.7,6,no,NA,NA,yes,0
FAC,0,NA,8,8.9,11.5,no,NA,NA,no,0
FAJ,-0.5,E,31,12.78387097,2.258064516,yes,no,33,no,0
FAL,0,NA,4,8.525,4.25,no,NA,NA,yes,0
FAV,0,NA,2,5.5,2,no,NA,NA,no,0
FEL,0,NA,3,11,7,no,NA,NA,no,0
FGL,0.5,H,4,8.2,9.25,no,NA,NA,no,0
FID,0.5,E,47,11.49361702,5.70212766,no,NA,NA,no,0
FIO,-0.5,H,20,12.95263158,6.85,no,NA,NA,yes,0
FKS,0,NA,9,9.855555556,2,no,NA,NA,yes,0
FKY,0,NA,1,11.3,1,no,NA,NA,no,0
FLA,0,NA,1,15.2,10,no,NA,NA,no,0
FLE,0,NA,1,11.5,3,no,NA,NA,yes,0
FLI,0,NA,1,7.1,5,no,NA,NA,no,0
FLM,0.5,H,2,6.05,11,no,NA,NA,no,0
FLO,0,NA,2,5.25,4.5,no,NA,NA,no,0
FLP,0.5,E,53,5.069230769,6.452830189,no,NA,NA,no,0
FLX,0,NA,2,14.1,2.5,no,NA,NA,no,0
FNA,0,NA,3,9.566666667,4,no,NA,NA,yes,0
FOG,-0.5,NA,5,4.7,5.2,no,NA,NA,no,0
FOL,0,NA,1,6.5,6,no,NA,NA,yes,0
FOO,0,NA,0,NA,NA,no,NA,NA,no,0
FOR,-0.5,NA,48,3.247916667,7.645833333,no,NA,NA,no,0
FOS,0,NA,1,13.4,5,no,NA,NA,yes,0
FRA,-0.5,NA,14,14.20714286,2.571428571,yes,no,22,no,0
FRD,0,NA,3,9.233333333,2.666666667,no,NA,NA,no,0
FRE,0,NA,2,12.85,2,no,NA,NA,yes,0
FRF,0,NA,9,1.744444444,2,no,NA,NA,yes,0
FRI,0,NA,2,6.95,4,no,NA,NA,no,0
FRK,0.5,D,3,10.66666667,6,no,NA,NA,no,0
FRN,0,NA,2,2.85,4,no,NA,NA,no,0
FRO,0,NA,1,6.4,8,no,NA,NA,no,0
FRU,0,NA,4,13.375,4,no,NA,NA,yes,0
FRY,0,NA,8,7.325,5.75,no,NA,NA,no,0
FRZ,0,NA,33,4.075,6.96969697,no,NA,NA,no,0
FUL,0.5,F,8,11.1375,9.25,no,NA,NA,no,0
FUN,0,NA,11,13.68181818,7.818181818,no,NA,NA,no,0
FUS,0,NA,7,4.014285714,7.428571429,no,NA,NA,no,0
FZZ,0,NA,1,1.6,7,no,NA,NA,no,0
GAL,0,NA,3,10.36666667,4.666666667,no,NA,NA,no,0
GAR,0,NA,7,12.5,4.714285714,no,NA,NA,no,0
GEG,0,NA,1,7.8,10,no,NA,NA,no,0
